school_name,email,number,address,city_name,state_name,country_name
Mount Olympus School,admission.79@mountolympus.org,8929153302,Adjacent Godrej Aria,Gurgaon | Gurugram,Haryana,India
Delhi Public School,info@dpsyamunanagar.com,9992005386,"Yamuna Nagar Vill. Bhambholi, 9 Km Milestone, Jagadhri – Ambala Road, Opposite Power Grid Station Jagadhri, District Yamuna Nagar",Boarding Schools,Boarding Schools,India
JAIN International Residential School,admission@jirs.ac.in,9606476631,"45th km, NH-209, Jakkasandra Post Bangalore-Kanakapura Main Road, Ramanagara",Boarding Schools,Boarding Schools,India
Adamas World School,principal.aws@adamas.co.in,8479913763,"Adamas Knowledge City, Barasat - Barrackpore Road 24 Parganas (North, Jagannathpur)",Kolkata,West Bengal,India
Adamas International School,ais@ais.adamas.co.in,8335008844,"58, 4, MM Feeder Rd, Rathtala, P.O, Belghoria, Kolkata",Kolkata,West Bengal,India
K12 Schools - British Curriculum,Info@k12onlineschools.com,9899193417,"303, ILD Trade Centre, Sector 47",Online Schools,Online Schools,India
K12 Schools - Indian Curriculum,admin@k12onlineschools.com,9899193417,"303, ILD Trade Centre, Sector 47",Online Schools,Online Schools,India
Happy English School (HES),info@heskrishnanagar.in,7838206059,Krishna Nagar,Delhi,Delhi,India
Redbridge International Academy,admissions@rbi.in,9123838523,"114, S Bingipura Village Hulimangala Post, Begur- Koppa Road, Off Bannerghatta road, Near electronic city.",Boarding Schools,Boarding Schools,India
Finland International School,Info@fis-pune.com,7709815048,"Vista Core Building,Plot no 29 Talera Park Society",Pune,Maharashtra,India
Tula's International School,rupali.narang@tis.edu.in,8171851117,"Dhoolkot, Selaqui, Chakrata Road, Dehradun",Boarding Schools,Boarding Schools,India
Satluj Public School,ajaysingh@satlujpublicschool.org,9671698892,"Ward No. 9, Gandhi Chowk, Satluj Public School, Ellenabad, Near Ramdev Ji Temple, Sirsa",Boarding Schools,Boarding Schools,India
Naincy Convent School,info@naincygroup.com,8979333292,"Naincy Campus, Jeolikote , Nainital",Boarding Schools,Boarding Schools,India
G. D. Birla Memorial School,principal.gdbms@gmail.com,8979009564,"Birla Gram, Chilianaula, Ranikhet, Almora",Boarding Schools,Boarding Schools,India
Seth Anandram Jaipuria School,admission.gnoida@jaipuria.school,9205958744,"Plot no. 2A, Chauganpur",Greater Noida West,Uttar Pradesh,India
K8 School - Noida,support@k8school.com,9818605002,Online School,Noida,Uttar Pradesh,India
K8 School - Faridabad,support@k8school.com,9818605002,Online School,Faridabad,Haryana,India
K8 School - Ghaziabad,support@k8school.com,9818605002,Online School,Ghaziabad,Uttar Pradesh,India
K8 School - Bangalore,support@k8school.com,9818605002,Online School,Bangalore | Bengaluru,Karnataka,India
K8 School - Gurugram,support@k8school.com,9818605002,Online School,Gurgaon | Gurugram,Haryana,India
K8 School,support@k8school.com,9818605002,Online School,Online Schools,Online Schools,India
Cyboard School - Bangalore,info@cyboardschool.com,9312000815,Online Schools,Bangalore | Bengaluru,Karnataka,India
Cyboard School,info@cyboardschool.com,9311300815,Online Schools,Online Schools,Online Schools,India
