state_name,country_name
Andaman and Nicobar Islands,India
Andhra Pradesh,India
Arunachal Pradesh,India
Assam,India
Bihar,India
Chandigarh,India
Chhattisgarh,India
Dadra and Nagar Haveli and Daman and Diu,India
Delhi,India
Goa,India
Gujarat,India
Haryana,India
Himachal Pradesh,India
Jammu and Kashmir,India
Jharkhand,India
Karnataka,India
Kerala,India
Ladakh,India
Lakshadweep,India
Madhya Pradesh,India
Maharashtra,India
Manipur,India
Meghalaya,India
Mizoram,India
Nagaland,India
Odisha,India
Puducherry,India
Punjab,India
Rajasthan,India
Sikkim,India
Tamil Nadu,India
Telangana,India
Tripura,India
Uttar Pradesh,India
Uttarakhand,India
West Bengal,India
